Connecting to host 1.2.2.1, port 5201
[  4] local 10.0.10.1 port 60997 connected to 1.2.2.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  10.6 MBytes  89.2 Mbits/sec  1362  
[  4]   1.00-2.00   sec  11.8 MBytes  99.0 Mbits/sec  1510  
[  4]   2.00-3.00   sec  11.8 MBytes  99.0 Mbits/sec  1511  
[  4]   3.00-4.00   sec  11.8 MBytes  99.0 Mbits/sec  1510  
[  4]   4.00-5.00   sec  11.8 MBytes  99.2 Mbits/sec  1513  
[  4]   5.00-6.00   sec  11.8 MBytes  99.0 Mbits/sec  1511  
[  4]   6.00-7.00   sec  11.8 MBytes  98.8 Mbits/sec  1508  
[  4]   7.00-8.00   sec  11.8 MBytes  99.0 Mbits/sec  1511  
[  4]   8.00-9.00   sec  11.8 MBytes  99.1 Mbits/sec  1512  
[  4]   9.00-10.00  sec  11.8 MBytes  99.0 Mbits/sec  1511  
[  4]  10.00-11.00  sec  11.8 MBytes  99.0 Mbits/sec  1511  
[  4]  11.00-12.00  sec  11.8 MBytes  98.8 Mbits/sec  1508  
[  4]  12.00-13.00  sec  11.8 MBytes  99.0 Mbits/sec  1511  
[  4]  13.00-14.00  sec  11.8 MBytes  99.1 Mbits/sec  1512  
[  4]  14.00-15.00  sec  11.8 MBytes  99.1 Mbits/sec  1512  
[  4]  15.00-16.00  sec  11.8 MBytes  98.9 Mbits/sec  1509  
[  4]  16.00-17.00  sec  11.8 MBytes  99.0 Mbits/sec  1511  
[  4]  17.00-18.00  sec  11.8 MBytes  99.0 Mbits/sec  1511  
[  4]  18.00-19.00  sec  11.8 MBytes  99.0 Mbits/sec  1510  
[  4]  19.00-20.00  sec  11.8 MBytes  98.9 Mbits/sec  1509  
[  4]  20.00-21.00  sec  11.8 MBytes  99.2 Mbits/sec  1513  
[  4]  21.00-22.00  sec  11.8 MBytes  99.0 Mbits/sec  1510  
[  4]  22.00-23.00  sec  11.8 MBytes  99.0 Mbits/sec  1511  
[  4]  23.00-24.00  sec  11.8 MBytes  99.1 Mbits/sec  1512  
[  4]  24.00-25.00  sec  11.8 MBytes  99.0 Mbits/sec  1510  
[  4]  25.00-26.00  sec  11.8 MBytes  99.0 Mbits/sec  1510  
[  4]  26.00-27.00  sec  11.8 MBytes  98.9 Mbits/sec  1509  
[  4]  27.00-28.00  sec  11.8 MBytes  99.1 Mbits/sec  1512  
[  4]  28.00-29.00  sec  11.8 MBytes  99.0 Mbits/sec  1510  
[  4]  29.00-30.00  sec  11.8 MBytes  98.9 Mbits/sec  1509  
[  4]  30.00-31.00  sec  11.8 MBytes  99.2 Mbits/sec  1513  
[  4]  31.00-32.00  sec  11.8 MBytes  98.9 Mbits/sec  1509  
[  4]  32.00-33.00  sec  11.8 MBytes  99.0 Mbits/sec  1511  
[  4]  33.00-34.00  sec  11.8 MBytes  99.0 Mbits/sec  1510  
[  4]  34.00-35.00  sec  11.8 MBytes  99.1 Mbits/sec  1512  
[  4]  35.00-36.00  sec  11.8 MBytes  99.0 Mbits/sec  1511  
[  4]  36.00-37.00  sec  11.8 MBytes  99.0 Mbits/sec  1510  
[  4]  37.00-38.00  sec  11.8 MBytes  99.0 Mbits/sec  1510  
[  4]  38.00-39.00  sec  11.8 MBytes  99.1 Mbits/sec  1512  
[  4]  39.00-40.00  sec  11.8 MBytes  99.0 Mbits/sec  1511  
[  4]  40.00-41.00  sec  11.8 MBytes  99.0 Mbits/sec  1511  
[  4]  41.00-42.00  sec  11.8 MBytes  98.8 Mbits/sec  1508  
[  4]  42.00-43.00  sec  11.8 MBytes  99.0 Mbits/sec  1511  
[  4]  43.00-44.00  sec  11.8 MBytes  99.0 Mbits/sec  1510  
[  4]  44.00-45.00  sec  11.8 MBytes  99.1 Mbits/sec  1512  
[  4]  45.00-46.00  sec  11.8 MBytes  98.9 Mbits/sec  1509  
[  4]  46.00-47.00  sec  11.8 MBytes  99.1 Mbits/sec  1512  
[  4]  47.00-48.00  sec  11.8 MBytes  99.0 Mbits/sec  1511  
[  4]  48.00-49.00  sec  11.8 MBytes  99.1 Mbits/sec  1512  
[  4]  49.00-50.00  sec  11.8 MBytes  98.9 Mbits/sec  1509  
[  4]  50.00-51.00  sec  11.8 MBytes  99.1 Mbits/sec  1512  
[  4]  51.00-52.00  sec  11.8 MBytes  98.8 Mbits/sec  1508  
[  4]  52.00-53.00  sec  11.8 MBytes  99.1 Mbits/sec  1512  
[  4]  53.00-54.00  sec  11.8 MBytes  98.9 Mbits/sec  1509  
[  4]  54.00-55.00  sec  11.8 MBytes  99.1 Mbits/sec  1512  
[  4]  55.00-56.00  sec  11.8 MBytes  99.0 Mbits/sec  1510  
[  4]  56.00-57.00  sec  11.8 MBytes  99.0 Mbits/sec  1510  
[  4]  57.00-58.00  sec  11.8 MBytes  99.2 Mbits/sec  1513  
[  4]  58.00-59.00  sec  11.8 MBytes  99.0 Mbits/sec  1510  
[  4]  59.00-60.00  sec  11.8 MBytes  99.1 Mbits/sec  1512  
[  4]  60.00-61.00  sec  11.8 MBytes  98.8 Mbits/sec  1508  
[  4]  61.00-62.00  sec  11.8 MBytes  99.1 Mbits/sec  1512  
[  4]  62.00-63.00  sec  11.8 MBytes  98.9 Mbits/sec  1509  
[  4]  63.00-64.00  sec  11.8 MBytes  99.0 Mbits/sec  1511  
[  4]  64.00-65.00  sec  11.8 MBytes  99.0 Mbits/sec  1511  
[  4]  65.00-66.00  sec  11.8 MBytes  99.1 Mbits/sec  1512  
[  4]  66.00-67.00  sec  11.8 MBytes  99.0 Mbits/sec  1510  
[  4]  67.00-68.00  sec  11.8 MBytes  98.9 Mbits/sec  1509  
[  4]  68.00-69.00  sec  11.8 MBytes  99.2 Mbits/sec  1513  
[  4]  69.00-70.00  sec  11.8 MBytes  98.9 Mbits/sec  1509  
[  4]  70.00-71.00  sec  11.8 MBytes  99.0 Mbits/sec  1510  
[  4]  71.00-72.00  sec  11.8 MBytes  99.1 Mbits/sec  1512  
[  4]  71.00-72.00  sec  11.8 MBytes  99.1 Mbits/sec  1512  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-72.00  sec   851 MBytes  99.1 Mbits/sec  0.000 ms  0/108918 (0%)  
[  4] Sent 108918 datagrams
